Transaction_ID,Sale_Date,Product_Category,Product_Name,Quantity_Sold,Unit_Price,Total_Sales,Stock_Received,Stock_Remaining,Store_Location
T0035,25-10-2025,Snacks,Biscuits,8,364.11,2912.88,327,319,Trichy
T0036,28-05-2025,Dairy,Yogurt,8,439.09,3512.72,79,71,Trichy
T0037,07-01-2025,Frozen Foods,Frozen Peas,10,395.42,3954.2,334,324,Coimbatore
T0038,15-06-2025,Groceries,Wheat Flour,19,354.5,6735.5,136,117,Salem
T0039,14-09-2025,Bakery,Bread,12,488.47,5861.64,120,108,Salem
T0040,01-03-2025,Bakery,Bread,4,245.46,981.84,357,353,Chennai
T0041,17-11-2025,Frozen Foods,Ice Cream,9,172.88,1555.92,108,99,Trichy
T0042,20-01-2025,Snacks,Nuts,5,73.67,368.35,175,170,Salem
T0043,06-02-2025,Beverages,Soft Drink,12,287.64,3451.68,348,336,Trichy
T0044,04-01-2025,Personal Care,Lotion,15,231.08,3466.2,347,332,Chennai
T0045,18-06-2025,Snacks,Nuts,19,394.9,7503.1,114,95,Trichy
T0046,08-11-2025,Groceries,Salt,6,120.84,725.04,385,379,Salem
T0047,05-05-2025,Frozen Foods,Ice Cream,16,165.13,2642.08,324,308,Chennai
T0048,08-05-2025,Personal Care,Shampoo,2,240.67,481.34,275,273,Madurai
T0049,07-10-2025,Dairy,Butter,12,51.68,620.16,56,44,Coimbatore
T0050,31-05-2025,Personal Care,Shampoo,4,468.8,1875.2,332,328,Trichy
T0051,13-02-2025,Snacks,Biscuits,12,475.76,5709.12,328,316,Madurai
T0052,22-09-2025,Personal Care,Shampoo,12,478.14,5737.68,329,317,Salem
T0053,20-11-2025,Dairy,Cheese,15,64.51,967.65,385,370,Chennai
T0054,19-02-2025,Groceries,Rice,6,309.36,1856.16,477,471,Coimbatore
T0055,08-01-2025,Beverages,Soft Drink,5,84.3,421.5,168,163,Trichy
T0056,26-04-2025,Bakery,Bread,2,241.55,483.1,488,486,Trichy
T0057,27-03-2025,Snacks,Biscuits,12,171.13,2053.56,235,223,Madurai
T0058,29-03-2025,Frozen Foods,Frozen Peas,9,465.78,4192.02,206,197,Madurai
T0059,20-12-2025,Beverages,Juice,6,209.11,1254.66,123,117,Coimbatore
T0060,15-12-2025,Frozen Foods,Frozen Pizza,3,330.82,992.46,185,182,Madurai
T0061,29-08-2025,Beverages,Juice,13,173.92,2260.96,150,137,Chennai
T0062,24-08-2025,Dairy,Butter,13,231.37,3007.81,217,204,Chennai
T0063,27-09-2025,Frozen Foods,Frozen Fries,15,241.83,3627.45,361,346,Trichy
T0064,10-04-2025,Snacks,Chips,5,361.36,1806.8,206,201,Coimbatore
T0065,01-07-2025,Dairy,Milk,9,392.88,3535.92,68,59,Trichy
T0066,13-05-2025,Dairy,Butter,3,366.48,1099.44,375,372,Salem
T0067,29-01-2025,Frozen Foods,Frozen Fries,15,152.52,2287.8,92,77,Trichy
T0068,09-01-2025,Dairy,Milk,3,475.63,1426.89,271,268,Chennai
T0069,06-06-2025,Personal Care,Toothpaste,1,447.75,447.75,481,480,Madurai
T0070,26-01-2025,Bakery,Cake,20,152.56,3051.2,318,298,Salem
T0071,25-07-2025,Beverages,Soft Drink,7,158.59,1110.13,437,430,Trichy
T0072,04-12-2025,Beverages,Soft Drink,3,287.57,862.71,303,300,Trichy
T0073,24-04-2025,Dairy,Cheese,19,221.54,4209.26,112,93,Chennai
T0074,02-08-2025,Personal Care,Soap,15,394.48,5917.2,144,129,Chennai
T0075,11-02-2025,Groceries,Rice,11,272.65,2999.15,115,104,Madurai
T0076,30-06-2025,Beverages,Juice,20,244.96,4899.2,464,444,Coimbatore
T0077,30-07-2025,Personal Care,Soap,6,392.24,2353.44,96,90,Trichy
T0078,20-01-2025,Beverages,Soft Drink,1,441.12,441.12,429,428,Chennai
T0079,08-11-2025,Personal Care,Lotion,5,37.72,188.6,81,76,Salem
T0080,20-10-2025,Beverages,Soft Drink,8,380.95,3047.6,330,322,Madurai
T0081,04-11-2025,Bakery,Cake,9,415.03,3735.27,156,147,Coimbatore
T0082,25-05-2025,Frozen Foods,Frozen Peas,7,498.51,3489.57,334,327,Trichy
T0083,18-08-2025,Snacks,Biscuits,4,234.88,939.52,423,419,Trichy
T0084,27-07-2025,Frozen Foods,Ice Cream,16,485.95,7775.2,438,422,Chennai
T0085,14-12-2025,Snacks,Biscuits,9,265.5,2389.5,230,221,Chennai
T0086,01-12-2025,Beverages,Coffee,15,204.61,3069.15,464,449,Madurai
T0087,22-08-2025,Beverages,Soft Drink,20,283.39,5667.8,336,316,Madurai
T0088,22-11-2025,Bakery,Bread,6,406.55,2439.3,147,141,Trichy
T0089,12-07-2025,Groceries,Rice,15,415.65,6234.75,237,222,Salem
T0090,19-03-2025,Beverages,Juice,2,374.11,748.22,486,484,Madurai
T0091,05-12-2025,Dairy,Yogurt,13,250.67,3258.71,179,166,Madurai
T0092,18-09-2025,Personal Care,Shampoo,18,131.43,2365.74,499,481,Trichy
T0093,15-09-2025,Bakery,Bread,18,123.25,2218.5,217,199,Madurai
T0094,28-02-2025,Personal Care,Lotion,18,358.51,6453.18,117,99,Chennai
T0095,14-08-2025,Frozen Foods,Frozen Fries,13,61.73,802.49,149,136,Coimbatore
T0096,08-09-2025,Snacks,Nuts,8,233.19,1865.52,318,310,Madurai
T0097,26-09-2025,Dairy,Milk,20,487.42,9748.4,334,314,Trichy
T0098,11-11-2025,Snacks,Biscuits,4,454.15,1816.6,321,317,Chennai
T0099,18-09-2025,Bakery,Muffin,5,78.5,392.5,384,379,Chennai
T0100,13-07-2025,Beverages,Juice,8,44.76,358.08,464,456,Madurai
T0101,30-04-2025,Bakery,Cookies,7,192.86,1350.02,58,51,Coimbatore
T0102,03-05-2025,Frozen Foods,Frozen Fries,9,211.55,1903.95,369,360,Coimbatore
T0103,04-05-2025,Personal Care,Lotion,16,248.64,3978.24,412,396,Madurai
T0104,13-11-2025,Groceries,Wheat Flour,12,351.83,4221.96,286,274,Trichy
T0105,19-03-2025,Frozen Foods,Frozen Peas,3,464.23,1392.69,487,484,Coimbatore
T0106,02-08-2025,Personal Care,Shampoo,10,42.25,422.5,311,301,Chennai
T0107,01-05-2025,Beverages,Tea,15,246.44,3696.6,330,315,Chennai
T0108,10-07-2025,Beverages,Soft Drink,10,193.9,1939,467,457,Salem
T0109,05-08-2025,Dairy,Cheese,20,179.28,3585.6,202,182,Madurai
T0110,14-06-2025,Personal Care,Toothpaste,16,348.83,5581.28,324,308,Madurai
T0111,10-05-2025,Beverages,Tea,13,70.32,914.16,145,132,Chennai
T0112,23-11-2025,Beverages,Tea,10,487.42,4874.2,238,228,Salem
T0113,23-06-2025,Beverages,Juice,19,404.37,7683.03,318,299,Salem
T0114,28-10-2025,Beverages,Tea,8,243.05,1944.4,149,141,Madurai
T0115,04-05-2025,Beverages,Coffee,5,233.74,1168.7,306,301,Coimbatore
T0116,14-10-2025,Personal Care,Lotion,14,199.14,2787.96,468,454,Coimbatore
T0117,30-11-2025,Personal Care,Toothpaste,11,148.77,1636.47,460,449,Trichy
T0118,03-11-2025,Snacks,Biscuits,18,286.66,5159.88,103,85,Madurai
T0119,22-09-2025,Frozen Foods,Ice Cream,3,348.02,1044.06,275,272,Trichy
T0120,09-08-2025,Snacks,Chips,11,98.64,1085.04,250,239,Chennai
T0121,22-07-2025,Beverages,Soft Drink,6,279.95,1679.7,281,275,Chennai
T0122,24-02-2025,Frozen Foods,Ice Cream,4,210.45,841.8,326,322,Madurai
T0123,08-12-2025,Beverages,Juice,10,381.23,3812.3,464,454,Salem
T0124,22-10-2025,Personal Care,Lotion,3,21.36,64.08,414,411,Chennai
T0125,17-10-2025,Dairy,Butter,5,29.82,149.1,82,77,Madurai
T0126,31-05-2025,Groceries,Sugar,10,257.72,2577.2,178,168,Trichy
T0127,30-01-2025,Groceries,Salt,19,485.53,9225.07,265,246,Coimbatore
T0128,26-05-2025,Bakery,Cake,9,398.6,3587.4,456,447,Chennai
T0129,04-12-2025,Bakery,Bread,16,34.63,554.08,433,417,Salem
T0130,25-07-2025,Snacks,Chips,9,220.29,1982.61,307,298,Trichy
T0131,29-12-2025,Groceries,Wheat Flour,8,96.18,769.44,248,240,Madurai
T0132,06-10-2025,Frozen Foods,Ice Cream,12,136.37,1636.44,493,481,Coimbatore
T0133,25-06-2025,Beverages,Soft Drink,4,36.62,146.48,258,254,Salem
T0134,28-04-2025,Bakery,Bread,5,395.29,1976.45,402,397,Madurai
T0135,26-09-2025,Bakery,Bread,10,54.92,549.2,289,279,Trichy
T0136,13-07-2025,Bakery,Muffin,6,74.29,445.74,71,65,Salem
T0137,08-01-2025,Snacks,Chocolate,6,195.22,1171.32,329,323,Chennai
T0138,06-06-2025,Dairy,Cheese,10,225.35,2253.5,277,267,Salem
T0139,21-05-2025,Dairy,Yogurt,1,88.26,88.26,385,384,Salem
T0140,31-07-2025,Snacks,Nuts,4,420.41,1681.64,459,455,Chennai
T0141,01-09-2025,Frozen Foods,Frozen Peas,20,474.58,9491.6,107,87,Salem
T0142,26-11-2025,Personal Care,Shampoo,13,402.9,5237.7,138,125,Madurai
T0143,24-09-2025,Bakery,Bread,15,396.81,5952.15,374,359,Trichy
T0144,16-11-2025,Dairy,Milk,1,445.39,445.39,376,375,Coimbatore
T0145,10-10-2025,Personal Care,Lotion,10,134.38,1343.8,499,489,Trichy
T0146,04-11-2025,Personal Care,Soap,20,89.66,1793.2,467,447,Coimbatore
T0147,27-06-2025,Personal Care,Lotion,1,430.13,430.13,60,59,Coimbatore
T0148,19-06-2025,Groceries,Sugar,4,132.36,529.44,471,467,Trichy
T0149,19-06-2025,Groceries,Salt,9,287.41,2586.69,438,429,Madurai
T0150,14-04-2025,Personal Care,Lotion,3,159.96,479.88,88,85,Chennai
T0151,27-02-2025,Beverages,Juice,7,496.22,3473.54,290,283,Chennai
T0152,07-01-2025,Dairy,Cheese,15,292.34,4385.1,69,54,Chennai
T0153,31-10-2025,Dairy,Butter,3,158.52,475.56,436,433,Madurai
T0154,15-03-2025,Bakery,Bread,7,21.29,149.03,338,331,Salem
T0155,16-08-2025,Bakery,Cake,13,460.31,5984.03,272,259,Trichy
T0156,30-09-2025,Groceries,Salt,18,275.08,4951.44,104,86,Chennai
T0157,15-09-2025,Personal Care,Lotion,18,165.64,2981.52,121,103,Madurai
T0158,19-08-2025,Dairy,Milk,8,256.78,2054.24,109,101,Madurai
T0159,06-06-2025,Beverages,Coffee,9,436.48,3928.32,65,56,Coimbatore
T0160,23-05-2025,Bakery,Cake,8,443.22,3545.76,396,388,Chennai
T0161,10-09-2025,Dairy,Butter,7,128.28,897.96,75,68,Coimbatore
T0162,31-12-2025,Beverages,Coffee,12,165.71,1988.52,183,171,Trichy
T0163,21-09-2025,Groceries,Salt,15,81.87,1228.05,170,155,Coimbatore
T0164,02-03-2025,Snacks,Biscuits,13,105.6,1372.8,176,163,Chennai
T0165,09-04-2025,Beverages,Soft Drink,15,274.08,4111.2,384,369,Salem
T0166,07-10-2025,Groceries,Rice,14,468.34,6556.76,122,108,Trichy
T0167,14-09-2025,Groceries,Rice,9,368.01,3312.09,123,114,Chennai
T0168,02-07-2025,Dairy,Milk,18,228.21,4107.78,285,267,Trichy
T0169,22-11-2025,Snacks,Nuts,3,339.98,1019.94,74,71,Coimbatore
T0170,03-11-2025,Frozen Foods,Frozen Peas,3,332.51,997.53,224,221,Coimbatore
T0171,23-10-2025,Groceries,Sugar,17,154.24,2622.08,444,427,Trichy
T0172,14-02-2025,Dairy,Butter,13,439.81,5717.53,305,292,Coimbatore
T0173,07-06-2025,Personal Care,Soap,16,425.67,6810.72,273,257,Coimbatore
T0174,01-01-2025,Snacks,Chips,10,490.33,4903.3,192,182,Coimbatore
T0175,12-02-2025,Beverages,Juice,13,243.47,3165.11,415,402,Trichy
T0176,21-10-2025,Bakery,Cake,13,94.39,1227.07,176,163,Madurai
T0177,13-02-2025,Beverages,Soft Drink,6,177.11,1062.66,69,63,Coimbatore
T0178,22-07-2025,Bakery,Cookies,19,242.25,4602.75,102,83,Trichy
T0179,20-08-2025,Groceries,Rice,12,300.06,3600.72,71,59,Trichy
T0180,01-05-2025,Groceries,Salt,7,280.24,1961.68,329,322,Madurai
T0181,09-10-2025,Personal Care,Lotion,13,334.29,4345.77,247,234,Salem
T0182,26-04-2025,Groceries,Wheat Flour,3,302.1,906.3,301,298,Chennai
T0183,15-12-2025,Personal Care,Shampoo,2,303.71,607.42,218,216,Trichy
T0184,29-08-2025,Beverages,Coffee,15,317.64,4764.6,160,145,Coimbatore
T0185,24-10-2025,Dairy,Milk,20,196.37,3927.4,327,307,Chennai
T0186,01-07-2025,Frozen Foods,Frozen Pizza,11,480.5,5285.5,265,254,Salem
T0187,11-10-2025,Dairy,Milk,8,385.58,3084.64,390,382,Madurai
T0188,25-09-2025,Bakery,Muffin,19,38.21,725.99,476,457,Madurai
T0189,06-11-2025,Bakery,Cookies,1,126.88,126.88,142,141,Madurai
T0190,14-02-2025,Bakery,Muffin,13,359.36,4671.68,479,466,Madurai
T0191,01-01-2026,Snacks,Chocolate,17,444.61,7558.37,167,150,Madurai
T0192,09-10-2025,Beverages,Soft Drink,10,427.19,4271.9,463,453,Madurai
T0193,15-01-2025,Snacks,Biscuits,10,132.96,1329.6,299,289,Madurai
T0194,25-11-2025,Personal Care,Lotion,20,164.27,3285.4,175,155,Coimbatore
T0195,16-11-2025,Groceries,Sugar,18,72.42,1303.56,322,304,Madurai
T0196,09-09-2025,Groceries,Sugar,13,196.51,2554.63,256,243,Madurai
T0197,21-06-2025,Dairy,Yogurt,14,356.9,4996.6,213,199,Trichy
T0198,01-07-2025,Bakery,Cake,2,307.59,615.18,121,119,Coimbatore
T0199,20-10-2025,Dairy,Cheese,19,20.69,393.11,122,103,Trichy
T0200,05-11-2025,Dairy,Butter,15,236.85,3552.75,133,118,Chennai
T0201,24-10-2025,Beverages,Soft Drink,5,337.95,1689.75,303,298,Coimbatore
T0202,17-12-2025,Groceries,Rice,6,211.73,1270.38,126,120,Coimbatore
T0203,09-02-2025,Dairy,Yogurt,18,412.37,7422.66,271,253,Coimbatore
T0204,06-03-2025,Personal Care,Lotion,16,70.05,1120.8,154,138,Trichy
T0205,21-02-2025,Personal Care,Shampoo,3,272.46,817.38,373,370,Trichy
T0206,08-02-2025,Groceries,Rice,20,71.86,1437.2,235,215,Madurai
T0207,15-11-2025,Beverages,Juice,1,289.51,289.51,105,104,Madurai
T0208,04-11-2025,Personal Care,Soap,2,269.25,538.5,361,359,Salem
T0209,29-10-2025,Beverages,Juice,17,290.72,4942.24,155,138,Trichy
T0210,10-09-2025,Dairy,Yogurt,1,495.64,495.64,457,456,Salem
T0211,29-08-2025,Beverages,Coffee,19,114.02,2166.38,201,182,Salem
T0212,25-12-2025,Snacks,Nuts,14,264.79,3707.06,403,389,Chennai
T0213,11-07-2025,Dairy,Milk,15,343.9,5158.5,110,95,Madurai
T0214,30-03-2025,Snacks,Chips,13,431.79,5613.27,66,53,Coimbatore
T0215,21-01-2025,Beverages,Tea,18,310.19,5583.42,196,178,Madurai
T0216,31-12-2025,Snacks,Biscuits,3,106.93,320.79,456,453,Chennai
T0217,03-08-2025,Snacks,Chocolate,4,150.9,603.6,377,373,Chennai
T0218,23-02-2025,Personal Care,Shampoo,20,486.4,9728,168,148,Coimbatore
T0219,23-10-2025,Frozen Foods,Frozen Pizza,13,371.76,4832.88,431,418,Trichy
T0220,29-11-2025,Dairy,Yogurt,15,152.71,2290.65,333,318,Coimbatore
T0221,03-07-2025,Frozen Foods,Ice Cream,3,263.68,791.04,354,351,Coimbatore
T0222,17-01-2025,Frozen Foods,Ice Cream,6,255.84,1535.04,325,319,Trichy
T0223,27-07-2025,Snacks,Biscuits,19,57.3,1088.7,244,225,Coimbatore
T0224,10-12-2025,Personal Care,Soap,18,205.06,3691.08,396,378,Coimbatore
T0225,31-08-2025,Personal Care,Lotion,20,389.91,7798.2,374,354,Salem
T0226,25-09-2025,Snacks,Biscuits,15,436.05,6540.75,186,171,Coimbatore
T0227,21-06-2025,Dairy,Cheese,14,222.15,3110.1,375,361,Madurai
T0228,24-04-2025,Bakery,Cake,7,417.85,2924.95,163,156,Trichy
T0229,28-08-2025,Frozen Foods,Ice Cream,15,91.23,1368.45,125,110,Coimbatore
T0230,22-04-2025,Snacks,Nuts,5,431.78,2158.9,148,143,Trichy
T0231,13-02-2025,Snacks,Nuts,1,80.41,80.41,114,113,Madurai
T0232,06-03-2025,Dairy,Cheese,12,245.81,2949.72,118,106,Madurai
T0233,19-02-2025,Dairy,Butter,3,66.66,199.98,216,213,Chennai
T0234,01-03-2025,Personal Care,Toothpaste,1,276.62,276.62,158,157,Chennai
T0235,12-06-2025,Bakery,Bread,20,225.49,4509.8,422,402,Trichy
T0236,27-04-2025,Beverages,Soft Drink,14,25.69,359.66,317,303,Chennai
T0237,29-01-2025,Groceries,Wheat Flour,11,62.34,685.74,480,469,Chennai
T0238,01-12-2025,Snacks,Chocolate,10,466.22,4662.2,332,322,Trichy
T0239,02-03-2025,Snacks,Chocolate,6,26.13,156.78,81,75,Madurai
T0240,17-10-2025,Groceries,Wheat Flour,8,97.32,778.56,443,435,Madurai
T0241,09-09-2025,Beverages,Soft Drink,2,253.52,507.04,224,222,Salem
T0242,13-04-2025,Snacks,Chips,4,256.89,1027.56,124,120,Trichy
T0243,17-11-2025,Personal Care,Soap,10,289.75,2897.5,317,307,Salem
T0244,16-02-2025,Beverages,Tea,8,486.42,3891.36,283,275,Madurai
T0245,07-11-2025,Personal Care,Soap,5,190.02,950.1,179,174,Coimbatore
T0246,02-12-2025,Groceries,Salt,20,175.91,3518.2,101,81,Salem
T0247,24-04-2025,Beverages,Soft Drink,17,376.24,6396.08,234,217,Chennai
T0248,18-12-2025,Personal Care,Toothpaste,20,382.05,7641,270,250,Coimbatore
T0249,19-10-2025,Snacks,Biscuits,8,428.84,3430.72,436,428,Madurai
T0250,31-12-2025,Beverages,Soft Drink,15,106.16,1592.4,263,248,Coimbatore
T0251,28-06-2025,Personal Care,Toothpaste,11,339.11,3730.21,419,408,Salem
T0252,27-04-2025,Beverages,Coffee,15,441.2,6618,248,233,Trichy
T0253,29-10-2025,Groceries,Sugar,10,299.85,2998.5,321,311,Salem
T0254,17-08-2025,Groceries,Rice,9,186.34,1677.06,278,269,Chennai
T0255,17-03-2025,Groceries,Wheat Flour,15,208.93,3133.95,407,392,Coimbatore
T0256,13-03-2025,Groceries,Salt,7,199.46,1396.22,400,393,Salem
T0257,08-09-2025,Groceries,Salt,14,301.74,4224.36,174,160,Chennai
T0258,01-01-2026,Bakery,Bread,13,499.02,6487.26,216,203,Salem
T0259,28-02-2025,Beverages,Juice,13,23,299,146,133,Salem
T0260,18-05-2025,Bakery,Cookies,20,172.75,3455,409,389,Coimbatore
T0261,23-12-2025,Snacks,Chocolate,13,263.76,3428.88,88,75,Madurai
T0262,31-07-2025,Dairy,Milk,1,414.95,414.95,377,376,Madurai
T0263,04-02-2025,Groceries,Wheat Flour,17,136.11,2313.87,285,268,Coimbatore
T0264,08-02-2025,Snacks,Biscuits,1,414.03,414.03,126,125,Coimbatore
T0265,27-09-2025,Snacks,Biscuits,2,57.93,115.86,161,159,Chennai
T0266,18-04-2025,Snacks,Chips,20,46.11,922.2,369,349,Chennai
T0267,15-03-2025,Bakery,Cake,7,391.98,2743.86,233,226,Chennai
T0268,10-11-2025,Personal Care,Shampoo,4,216.33,865.32,358,354,Chennai
T0269,08-02-2025,Dairy,Cheese,14,446.52,6251.28,426,412,Salem
T0270,21-09-2025,Snacks,Nuts,16,316.58,5065.28,338,322,Chennai
T0271,14-08-2025,Bakery,Cookies,1,86.56,86.56,472,471,Salem
T0272,14-05-2025,Snacks,Chips,20,79.7,1594,482,462,Chennai
T0273,01-01-2026,Groceries,Wheat Flour,20,106.85,2137,220,200,Trichy
T0274,27-11-2025,Dairy,Cheese,16,464.38,7430.08,322,306,Coimbatore
T0275,31-07-2025,Dairy,Yogurt,6,141.31,847.86,274,268,Trichy
T0276,29-08-2025,Snacks,Chocolate,6,377.15,2262.9,159,153,Madurai
T0277,07-05-2025,Bakery,Cake,11,188,2068,465,454,Coimbatore
T0278,25-04-2025,Groceries,Rice,19,273.52,5196.88,162,143,Salem
T0279,06-11-2025,Snacks,Chips,1,213.04,213.04,495,494,Coimbatore
T0280,07-05-2025,Snacks,Nuts,4,219.44,877.76,212,208,Coimbatore
T0281,14-10-2025,Snacks,Biscuits,6,477.92,2867.52,451,445,Trichy
T0282,10-01-2025,Snacks,Nuts,3,194.63,583.89,244,241,Chennai
T0283,21-07-2025,Bakery,Cake,11,115.26,1267.86,353,342,Coimbatore
T0284,22-02-2025,Personal Care,Soap,18,482.84,8691.12,234,216,Chennai
T0285,12-08-2025,Snacks,Chips,19,62.88,1194.72,358,339,Coimbatore
T0286,25-08-2025,Bakery,Cake,10,152.78,1527.8,230,220,Salem
T0287,14-11-2025,Dairy,Milk,19,192.19,3651.61,86,67,Coimbatore
T0288,09-07-2025,Personal Care,Toothpaste,11,71.35,784.85,120,109,Chennai
T0289,30-10-2025,Snacks,Chips,1,162.65,162.65,278,277,Coimbatore
T0290,13-11-2025,Frozen Foods,Frozen Pizza,15,254.1,3811.5,72,57,Coimbatore
T0291,09-12-2025,Frozen Foods,Frozen Pizza,6,169.71,1018.26,436,430,Salem
T0292,26-02-2025,Groceries,Sugar,15,277.39,4160.85,119,104,Madurai
T0293,01-01-2026,Snacks,Biscuits,12,338.34,4060.08,292,280,Salem
T0294,26-01-2025,Groceries,Sugar,9,499.27,4493.43,80,71,Chennai
T0295,01-05-2025,Bakery,Cake,1,253.72,253.72,462,461,Chennai
T0296,12-02-2025,Frozen Foods,Frozen Pizza,9,404.32,3638.88,192,183,Coimbatore
T0297,25-08-2025,Groceries,Sugar,12,398.22,4778.64,337,325,Madurai
T0298,24-01-2025,Bakery,Cake,4,398.41,1593.64,440,436,Coimbatore
T0299,08-03-2025,Snacks,Chocolate,14,300.61,4208.54,466,452,Trichy
T0300,05-03-2025,Dairy,Butter,15,62.71,940.65,58,43,Coimbatore
T0301,08-01-2025,Beverages,Juice,17,137.02,2329.34,378,361,Chennai
T0302,20-01-2025,Bakery,Cookies,2,494.59,989.18,190,188,Chennai
T0303,08-03-2025,Personal Care,Lotion,20,143.92,2878.4,497,477,Coimbatore
T0304,17-09-2025,Beverages,Soft Drink,15,476.44,7146.6,222,207,Madurai
T0305,06-09-2025,Personal Care,Toothpaste,1,326.22,326.22,174,173,Salem
T0306,17-11-2025,Snacks,Chips,12,173.08,2076.96,62,50,Trichy
T0307,23-09-2025,Groceries,Wheat Flour,3,165.63,496.89,132,129,Chennai
T0308,01-02-2025,Frozen Foods,Frozen Pizza,5,284.78,1423.9,483,478,Chennai
T0309,09-02-2025,Beverages,Juice,18,175.82,3164.76,114,96,Salem
T0310,02-02-2025,Personal Care,Lotion,15,104.67,1570.05,172,157,Trichy
T0311,08-05-2025,Bakery,Bread,12,388.09,4657.08,209,197,Trichy
T0312,30-09-2025,Beverages,Tea,5,210.08,1050.4,154,149,Coimbatore
T0313,23-03-2025,Groceries,Wheat Flour,6,334.81,2008.86,347,341,Salem
T0314,21-07-2025,Beverages,Soft Drink,11,302.46,3327.06,440,429,Madurai
T0315,18-11-2025,Groceries,Rice,2,312.42,624.84,493,491,Coimbatore
T0316,06-11-2025,Frozen Foods,Frozen Peas,5,46.85,234.25,317,312,Madurai
T0317,16-03-2025,Bakery,Muffin,6,197.45,1184.7,369,363,Chennai
T0318,07-01-2025,Frozen Foods,Frozen Fries,2,339.55,679.1,382,380,Salem
T0319,28-10-2025,Groceries,Sugar,13,352.28,4579.64,326,313,Chennai
T0320,08-09-2025,Frozen Foods,Frozen Peas,2,262.1,524.2,468,466,Chennai
T0321,19-02-2025,Beverages,Juice,9,119.62,1076.58,463,454,Trichy
T0322,26-05-2025,Dairy,Cheese,12,432.07,5184.84,66,54,Trichy
T0323,23-06-2025,Personal Care,Shampoo,13,59.27,770.51,425,412,Salem
T0324,06-11-2025,Frozen Foods,Frozen Pizza,6,450.71,2704.26,219,213,Trichy
T0325,01-12-2025,Groceries,Salt,12,380.32,4563.84,145,133,Madurai
T0326,13-03-2025,Bakery,Cake,18,247.1,4447.8,130,112,Chennai
T0327,05-10-2025,Dairy,Yogurt,7,185.1,1295.7,57,50,Trichy
T0328,14-11-2025,Frozen Foods,Frozen Fries,14,237.11,3319.54,462,448,Trichy
T0329,12-05-2025,Bakery,Muffin,12,67.76,813.12,258,246,Chennai
T0330,14-09-2025,Dairy,Cheese,20,148.91,2978.2,154,134,Coimbatore
T0331,20-10-2025,Bakery,Cake,16,170.95,2735.2,406,390,Coimbatore
