S_id,Area,City,Restaurant,Price,Avg_rating,Total_rating,Food_type,Address,Delivery_time
62,Gariahat,Kolkata,Bedouin - Sher E Bengal,500,2.9,80,"North Indian,Chinese,Bengali",Gariahat Road Gariahat,70
63,Ballygunge,Kolkata,Sharma Dhaba,300,4.2,1000,North Indian  Fast Food  Tandoor  Biryani  Kebabs  Snacks  Chinese,Ballygunge Circular Road  Ballygunge Maidan Camp  Ballygunge,54
64,Indiranagar,Bangalore,Kund Indian Barbeque,200,4.2,100,"Mughlai,North Indian,Biryani,Kebabs,Desserts",1St Stage,58
65,Bhowanipore,Kolkata,Jai Hind Dhaba,500,4.3,1000,"North Indian,Indian,Tandoor,Kebabs,Punjabi,Home Food,Chinese",Sarat Bose Road Paddapukur,60
66,Kalighat,Kolkata,Tamarind,1100,4.4,100,"North Indian,South Indian",Sarat Bose Road Desapriya Park,73
67,Pulikeshi Nagar,Bangalore,Pathaan Sir,300,4.2,100,Fast Food,Coles Road,47
68,Indiranagar,Bangalore,Chaipatty,200,3.9,50,"Fast Food,Beverages,Pizzas,Street Food,Snacks",Hanumanthanagar,56
69,Powai Area,Mumbai,5 Spice,1100,4.2,500,"Chinese,Desserts",Powai Area,53
70,Punjagutta,Hyderabad,Srikanya,250,4.1,1000,"Andhra,Seafood",Punjagutta Road,56
71,Sion,Mumbai,Cafe Vrindavan,500,4.3,100,"North Indian,Chinese,South Indian",Sion Station,42
72,Mumbai,Mumbai,Ramdeo,450,4,500,"North Indian,Chinese,South Indian,Fast Food",Sion Station,44
73,Mumbai,Mumbai,Shabari,400,3.9,100,"North Indian,South Indian,Fast Food",Sion West,48
74,Rajajinagar,Bangalore,The Purple Pan,400,4.1,1000,"Mughlai,North Indian,Chinese,Arabian",Dr. Rajkumar Road,56
75,Pulikeshi Nagar,Bangalore,Moriz Nano,500,2.9,80,"North Indian,Chinese,Biryani,Seafood",Lakeview,50
76,Ashok Nagar,Bangalore,Truffles,450,4.5,1000,"American,Desserts,Continental,Italian",St. Marks Road,29
77,Golpark,Kolkata,The Grub Club,400,4.3,1000,"Italian,Chinese,Thai",Golpark,69
78,Koramangala,Bangalore,Lazeez,500,4.2,500,"North Indian,Mughlai",5Th Block,55
79,Shivajinagar,Pune,Marrakesh,300,4,100,"Lebanese,North Indian,Afghani,Mughlai,Combo,Biryani,Kebabs,Mediterranean,Arabian,Middle Eastern,Desserts",Fc Road,46
80,Banjara Hills,Hyderabad,Keshav Reddy Sweets,150,4.2,500,"Sweets,Bakery,Desserts,Fast Food,Street Food,Chaat",Road No 2,65
81,Gariahat,Kolkata,Kimli,600,4.4,100,"Chinese,Seafood",Purnadas Road,69
82,Koregaon Park,Pune,Prem'S,1200,4.2,100,"North Indian,Chinese,Continental,Asian,Desserts,Beverages",Koregaon Park,53
83,Deccan Gymkhana,Pune,The Chocolate Room,450,2.9,80,"Desserts,Continental,Fast Food",Fc Road,39
84,Koregaon Park,Pune,Uncle'S Chinese,350,4.1,1000,"Chinese,Thai,Malaysian",Koregaon Park,55
85,Jayanagar,Bangalore,House Of Kebab'S,500,3.7,50,"North Indian,Chinese,Biryani",Rv Road,51
86,Karkhana,Hyderabad,Oh So Stoned,300,3.9,100,Ice Cream  Desserts,Vikrampuri Colony,68
87,Kothrud,Pune,Zest Cafe Bar,250,4.2,20,"Chinese,Fast Food",Ideal Chambers  Kothrud,57
88,Koregaon Park,Pune,Seven - Shawarma And Burgers,250,3.9,100,"Lebanese,Fast Food,Snacks,Arabian",Koregaon Park,51
89,Kothrud,Pune,Rushhrs,250,4.3,100,"Salads,Healthy Food",Karishma Housing Society,46
90,Erandwane,Pune,Aroma'S Hyderabad House - Karve Road,400,4.2,500,"Biryani,Mughlai,North Indian,Chinese",Karve Road,35
91,Koti,Hyderabad,Grand Hotel,300,4.1,10000,"Biryani,Tandoor,Chinese,Indian,Kebabs,Desserts",Abids Road,24
92,Dilsukhnagar,Hyderabad,Tipsy Topsy,250,3.7,500,Chinese  Italian  Desserts  Bakery  Fast Food,Dilsukhnagar Main Road,39
93,Nagole,Hyderabad,Hotel Swagath Grand - Dhanturi Group Of Hotels,300,3.9,1000,"Biryani,Chinese,South Indian,North Indian,Tandoor",Alkapuri X Roads,67
94,Chandrapuri Colony,Hyderabad,Hotel Sitara Grand - Dhanturi Group Of Hotels,300,3.8,1000,"Biryani,Chinese,South Indian,North Indian,Tandoor",L B Nagar,70
95,Kothapet,Hyderabad,Nakshatra Inn Multi Cuisine Restaurant,300,3.8,100,"Biryani,Chinese,North Indian,South Indian",Lakshmi Nagar Colony,52
96,Narayanguda,Hyderabad,Mehfil,300,3.9,10000,"Biryani,Tandoor,Chinese,Indian,Kebabs,Desserts",Narayanguda,25
97,Fc Road,Pune,The Burger Barn Cafe,300,4.1,100,"American,Fast Food",Ghole Road,46
98,Park Street Area,Kolkata,Sip & Sandwich,300,2.9,80,Pastas  Beverages  Fast Food,Park Street,60
99,Beniapukur,Kolkata,Shiraz Golden Restaurant,500,4.4,1000,"Biryani,Mughlai,North Indian,Indian,Kebabs,Tandoor",Park Street,52
100,Park Street Area,Kolkata,Mocambo,1500,4.4,1000,"North Indian,Biryani,Continental,Italian",Park Street,62
101,Bidhannagar,Kolkata,The Scoop,400,4.1,100,"North Indian,Chinese,South Indian,Fast Food",Sector 1,70
102,Bidhannagar,Kolkata,Kaafila,1600,3.9,50,"Mughlai,North Indian",Sector 1,71
103,Bidhannagar,Kolkata,Ranjan'S,200,4.2,100,"North Indian,Chinese",Sector 3,56
104,Bidhannagar,Kolkata,Balle Balle Dhaba,500,4.1,1000,"North Indian,Punjabi,Biryani",Sector 1,59
105,Bidhannagar,Kolkata,Le Coffee Creme,600,3.9,50,"Combo,Chinese,Continental,Italian,Fast Food,Mexican",Sector 1,68
106,Himayatnagar,Hyderabad,Crystal Restaurant,350,3.9,1000,"Biryani,North Indian,Chinese",Rtc X Roads,34
107,New Nallakunta,Hyderabad,Bawarchi,300,3.9,10000,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai",Rtc X Roads,27
108,Sivanchetti Gardens,Bangalore,The Grill House - Steaks & Sizzlers,1100,4.2,100,"American,Steakhouse,Italian,Mexican,Continental,Mediterranean,Desserts,Grill,Salads,Pastas,Pizzas,Lebanese",Kensington Point,52
109,Adikmet,Hyderabad,Us Pizza,200,3.2,20,"Italian,Pizzas,Fast Food,Beverages,Desserts",O.U Road,48
110,Amberpet,Hyderabad,Surabhi Grand,300,4,500,"Mughlai,North Indian,Chinese,Seafood",Tilaknagar,45
111,Himayatnagar,Hyderabad,Bluedragon By Mandilicious,300,4.2,20,Chinese,Himayathnagar,34
112,Adikmet,Hyderabad,Frosty Den,200,2.2,20,"Ice Cream,Pizzas,Fast Food,Beverages,Desserts",O.U Road,43
113,Banjara Hills,Hyderabad,Sitara Grand - Nizami Pakwaan,300,3.6,100,"Biryani,Chinese,South Indian,North Indian,Tandoor",Road No 12,62
114,Karve Nagar,Pune,Cheesiano Pizza,500,3.9,100,"Italian,Pizzas,Fast Food",Karvenagar,52
115,Domlur,Bangalore,Venus Biryani,200,4.1,500,Biryani,3Rd Cross,49
116,Andheri East,Mumbai,Rj Spice,450,4.1,20,Chinese  Thai  Fast Food,Jb Nagar  Andheri East,55
117,Agarkar Nagar,Pune,Blue Nile,1000,4.2,1000,"Biryani,Mughlai,Tandoor,Chinese,Desserts,Ice Cream,Beverages",Bund Garden Road,31
118,Koregaon Park,Pune,Arthur'S Theme,800,4.3,100,"Italian,European",Lane No 6 Opp Cosmos Bank Kp,56
119,Mundhwa,Pune,Carnival Restaurant & Bar,1000,4.2,100,"North Indian,Chinese,Seafood,Continental",Mundhwa Road Kp,64
120,Shivajinagar,Pune,Smokin' Joe'S,400,4,50,"American,Fast Food",Jm Road,35
121,Mohammed Wadi,Pune,Chai - The Way You Like It,250,4,50,Fast Food,Salunkhe Vihar Road,73
122,Shivajinagar,Pune,Mainland China,850,4.4,100,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",Pyramid Mall,53
123,Bandra Area,Mumbai,Theobroma,800,4.7,500,"Desserts,Bakery,Beverages",Bandra Area,40
124,Paschim Vihar,Delhi,Deli 63,400,2.9,80,"Street Food,Fast Food",Punjabi Bagh,60
125,Malleshwaram,Bangalore,Food Paradise,326,3.9,100,"Mughlai,North Indian,Chinese,Fast Food",Malleshwaram,53
126,Ashok Nagar,Bangalore,Corner House Ice Cream,250,4.7,1000,"Ice Cream,Desserts",Residency Road,31
127,Kalighat,Kolkata,Bachan'S Dhaba,250,4.3,5000,"North Indian,Chinese",Near Kalighat Metro Rash Behari Avenue,61
128,Ballygunge,Kolkata,Mainland China,850,4.5,100,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",Ballygunge,64
129,Lakdikapul,Hyderabad,Chicha'S,200,3.8,500,"Biryani,Hyderabadi,Indian,Street Food",P & T Officers Colony,40
130,Deccan Gymkhana,Pune,Le Plaisir,1000,4.5,500,"Italian,Continental,European,Desserts",Prabhat Road Deccan,40
131,Deccan Gymkhana,Pune,Cafe Goodluck,200,4.4,100,"North Indian,Fast Food,Biryani,Cafe,Snacks,Beverages,Bakery",Shivajinagar,35
132,Camp,Pune,George Restaurant,600,4.3,1000,"North Indian,Chinese,Biryani,Mughlai,Parsi,Fast Food",East Street,33
133,Camp,Pune,Marzorin,200,4.4,1000,"Fast Food,Bakery,Beverages,Snacks,Desserts",Mg Road,33
134,Antop Hill,Mumbai,Monica Chinese Fast Food,350,3.9,50,Chinese,Antop Hill,57
135,Kothapet,Hyderabad,Kinara Grand,750,3.9,1000,"North Indian,Chinese,Biryani",Ashta Laxmi Temple,58
136,New Tippasandra,Bangalore,Dal Roti Sabji,150,4.5,100,North Indian,80Ft Road,54
137,Ashok Nagar,Bangalore,Mainland China,850,4.3,100,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",Church Street,40
138,Vasanth Nagar,Bangalore,Shezan,600,4.3,100,"North Indian,Chinese,Continental,Mughlai",Cunnigham Road,44
139,Vasanth Nagar,Bangalore,Dolci Desserts,600,4.5,50,"Desserts,Pastas",Cunnigham Road,40
140,Deccan Gymkhana,Pune,Subway,350,4.4,100,"Fast Food,Healthy Food,Salads,Snacks,Desserts,Beverages",Fc Road,35
141,Bandra Area,Mumbai,Smoke House Deli,600,4.4,100,"European,Italian,American,Pastas,Salads,Juices,Desserts,Combo",Bandra Area,48
142,Bhawani Peth,Pune,Madinah,200,4,500,"Mughlai,North Indian,Chinese,Biryani",Poona College,34
143,Bidhannagar,Kolkata,First Innings - The Stadel Hotel,800,4.5,20,"North Indian,Chinese,Continental",Sector 3,69
144,Basheer Bagh,Hyderabad,Meghacity,500,4.4,1000,"North Indian,Chinese",Basheerbagh X Road,32
145,Kalyani Nagar,Pune,Salad Grills,300,4.3,100,"Healthy Food,Salads,Fast Food,Continental,North Indian,Chinese",Hermes Parai,63
146,Ashok Nagar,Bangalore,Oh! Calcutta,800,4.3,100,Bengali,Church Street,36
147,Shankarapura,Bangalore,Polar Bear,300,4.5,100,"Desserts,Fast Food",Vv Puram,38
148,Vasanth Nagar,Bangalore,Miller'S 46,1100,4.4,100,"Steakhouse,American,Continental",Cunnigham Road,47
149,Sivanchetti Gardens,Bangalore,Carnival De Goa,500,4.1,100,"Goan,Mangalorean,Kerala,South Indian,Seafood,Coastal,Continental",Kensington Point,48
150,Elgin,Kolkata,The Rouge,400,4.4,50,Desserts  Bakery,Near Bishop'S College  Kolkata,51
151,Bidhannagar,Kolkata,The Darjeeling,500,4,100,"Chinese,Nepalese,Tibetan",Near City Centre 1,73
152,Paschim Vihar,Delhi,London Grill Co,500,4,1000,"American,Healthy Food,Fast Food,Continental,Salads,Beverages,Desserts",Paschim Vihar,50
153,Mumbai,Mumbai,Mughal Fusions,300,3.9,100,"Mughlai,North Indian,Chinese,Seafood",Lbs Marg,38
154,Kurla West,Mumbai,Mughal Darbaar,300,3.7,500,"Mughlai,North Indian,Chinese,Seafood",Lbs Marg,40
155,Saki Naka,Mumbai,Naaz Hotel,750,4.1,500,"Mughlai,North Indian,Chinese",Kurla West,39
156,Teynampet,Chennai,Amaravathi,650,4.2,100,"Indian,Chinese,Andhra,Tandoor",Cathedral Road,53
157,Nandanam,Chennai,Eatalica,500,4.5,100,"Italian,American",Ra Puram,69
158,Rajajinagar,Bangalore,Kudla Beach,400,3.9,20,"North Indian,Chinese,Seafood,South Indian",Dr. Rajkumar Road,59
159,Langford Gardens,Bangalore,Rolls Kitchen,200,4.4,500,Fast Food,Shanthi Nagar,35
160,Punjagutta,Hyderabad,Zyqa Restaurant,200,4,500,"North Indian,Biryani,Chinese",Punjagutta,55
161,Himayatnagar,Hyderabad,Sahara Bakers,200,3.8,500,"Bakery,Pizzas",Chikadpally,34
162,Kurla West,Mumbai,Mughal Dhaba,500,4,20,"Mughlai,North Indian,Chinese",Lbs Marg Kurla West,36
163,Deccan Gymkhana,Pune,Spring Onion,500,4.3,100,"Chinese,Thai,Pan-Asian,Seafood",Bhandarkar Road,39
164,Koti,Hyderabad,Tibbs Frankie,150,4.3,100,Snacks,Hanuman Tekdi Road,29
165,Kalighat,Kolkata,Petuk,350,4,20,"Mughlai,Chinese,Fast Food",Near Sujata Sadan Theater Hazra,70
166,Malleshwaram,Bangalore,Shanthi Sagar Grand,200,4,100,"North Indian,South Indian,Fast Food",Sampige Road,57
167,Abids,Hyderabad,Agrawala Sweets,250,4.3,100,"Sweets,Fast Food",Jn Road,27
168,Powai,Mumbai,Eagle Boys Pizza,600,3.7,100,Pizzas  Fast Food,Chandivali,56
169,Richmond Town,Bangalore,Freshmenu,250,4.1,1000,"Chinese,Continental,Italian,Mediterranean,Thai,Lebanese,American,Asian,Beverages,Bakery,Biryani,Desserts,Mexican,North Indian,Salads,Pizzas",Aga Abdullah Street,38
170,Himayatnagar,Hyderabad,Angaara,250,3.9,100,"Indian,Chinese,Tandoor",Street 4,33
171,Santacruz East,Mumbai,Golden Wave Restaurant,1000,2.9,80,"North Indian,Chinese,Continental",Santacruz East,56
172,Bidhannagar,Kolkata,Afraa Deli-Sector 1,700,4.3,50,"Continental,Fast Food,Italian,Beverages",Sector 1,67
173,Bidhannagar,Kolkata, Conclave At Afraa,850,3.9,50,"Italian,Indian,Continental",Salt Lake City Centre,75
174,Ashok Nagar,Bangalore,Shiro,1400,4.4,100,"Japanese,Asian",Vittal Mallya Road,44
175,Khairtabad,Hyderabad,Paradise Biryani,400,3.9,100,Biryani  North Indian  Chinese,Imax Road,48
176,Aundh,Pune,Delhi Kitchen,300,4,100,"Tandoor,North Indian,Biryani,Beverages,Desserts",Dp Road,69
177,Vishnu Garden,Delhi,Sethi Restaurant,300,4,1000,North Indian,Pacific Mall,63
178,Beleghata,Kolkata,Mama Mia! - Italian Ice Creams,200,4.7,100,Ice Cream Cakes  Desserts  Bakery  Sweets  Beverages,Beleghata,34
179,Lake Town,Kolkata,Buddha Bites-Jessore Road,300,3.7,1000,"Chinese,Asian,Fast Food,Snacks,Tibetan",Jessore Road,74
180,Gopalapuram,Chennai,The Kati Roll Shop,250,4.3,1000,Street Food,Cathedral Road,52
181,Powai Area,Mumbai,Asia Kitchen By Mainland China,850,4.3,100,"Asian,Chinese,Oriental",Powai Area,55
182,Alwarpet,Chennai,Benjarong,1500,4.6,100,Thai,Ttk Road,68
183,Mylapore,Chennai,Kaaraikudi,500,3.6,100,Chettinad,Dr Radhakrishnan Salai,57
184,Central Markt Punjabi Bagh,Delhi,Wok In The Clouds,1500,4.5,50,"North Indian,Chinese,Thai,Continental",Punjabi Bagh,72
185,Golpark,Kolkata,Crossroad Crystal - Golpark,350,4.1,50,"Indian,Chinese,Bengali",Golpark,71
186,Andheri East,Mumbai,99 East,300,2.9,80,North Indian  Chinese  Seafood,Andheri East,57
187,Pashan,Pune,Saffron Multicuisine,400,4.5,20,"Mughlai,North Indian,Chinese,Seafood,Tandoor",Orange County Baner Pashan Link Road,68
188,South Kolkata,Kolkata,Second House,500,2.9,80,"North Indian,Chinese,Kebabs,Biryani,Mughlai",Southern Avenue,84
189,Gariahat,Kolkata,Santa'S Fantasea,1200,4.3,100,"Tribal,Seafood,Chinese",Ballygunge Terrace Near Anjali Jewellers Golpark,80
190,Punjagutta,Hyderabad,Akson Restaurant,250,4.3,1000,"North Indian,Biryani,Kerala",Panjagutta Road,53
191,Kotturpuram,Chennai,Ciclo Cafe,1100,4.4,1000,"Continental,Italian,Italian-American",Alwarpet,71
192,Paschim Vihar,Delhi,Chawla Kitchen,500,3.8,500,"Chinese,Mughlai,Indian,Snacks,Popular Brand Store,Fast Food",Punjabi Bagh,48
193,Habsiguda,Hyderabad,Taste Of India,600,4.2,20,"North Indian,Chinese,Continental",Habsiguda Main Road,67
194,Uppal,Hyderabad,Crunchy'S,150,3.8,20,"Italian,American",Uppal Ring Road,72
195,Indiranagar,Bangalore,Paris Panini - French Street Food,450,4.4,1000,"French,Street Food",Hal 3Rd Stage,57
196,Alwarpet,Chennai,Ashvita Bistro,500,4.1,20,"Continental,Asian",Alwarpet,69
197,Alwarpet,Chennai,Gogo Momo,350,4.2,50,Chinese,Bava Road,65
198,Punjabi Bagh,Delhi,Blue Water Grille,600,3.9,100,"North Indian,Chinese,Continental,Fast Food",Punjabi Bagh,68
199,Kasba,Kolkata,Sheerazi,350,4.3,50,"North Indian,Chinese",Kasba,68
200,Alwarpet,Chennai,Dhabba Express,500,4,100,"Punjabi,North Indian,Chinese",Cenotaph Road,62
201,Barabazar Market,Kolkata,Royal Indian Hotel,450,4.3,1000,"North Indian,Biryani,Mughlai",Rabindra Sarani,36
202,Manicktala,Kolkata,Urbans Cafe,350,4.2,20,"Chinese,Mexican,Continental",Near Balika Shiksha Sadan,46
203,Punjagutta,Hyderabad,Friends Shawarma,200,4.3,100,Lebanese,Road No 3,61
204,Maniktala,Kolkata,New Paul Dhaba,400,3.9,1000,"North Indian,Chinese",Maniktala,42
205,Esplanade,Kolkata,Lazzat,300,4.1,100,Chinese,Pearl Road Lower Range Beck Bagan,50
206,Kankurgachi,Kolkata,Caafe 360 Degree- Kakurgachi,500,3.9,100,"Italian,Chinese",C.I.T. Road,59
207,Ashok Nagar,Bangalore,Beijing Bites,450,4.2,500,Chinese,Richmond Road,33
208,Thousand Lights,Chennai,Ox & Tomato,500,4.4,50,"Italian,Pizzas,Pastas,Desserts,Continental,Salads",Opp To Ather Bike Showroom,55
209,Mylapore,Chennai,Fresh Baked Goodness,250,4.7,500,Bakery,Mylapore,63
210,Taltala,Kolkata,Subway,350,4.3,500,Fast Food  Healthy Food  Salads  Snacks  Desserts  Beverages,Park Street,49
211,Alwarpet,Chennai,Absolute Thai,1400,4.4,100,"Thai,Pan-Asian",Teynampet,71
212,West Marredpally,Hyderabad,Triple A Bakery,100,3.9,100,Italian  Bakery,West Marredpally Road,70
213,Powaiandheri East,Mumbai,Forks And Spoons (Gourmet Chinese & Thai),200,4.1,100,"Chinese,Thai,Pan-Asian,Oriental,Beverages,Snacks,Seafood,Mughlai,Tibetan,Combo,European,Turkish,Asian,British,Salads,German",Andheri East,48
214,Santacruz East,Mumbai,Subway,350,4.4,500,"Fast Food,Salads,Snacks,Desserts,Beverages",Central Plaza Kalina,29
215,Thousand Lights,Chennai,Sandy'S,700,4.3,500,"Desserts,Continental",Wallace Garden,54
216,Nungambakkam,Chennai,Mexicano Griller,800,3.9,20,"Mexican,Continental",Nungambakkam,64
217,Vasanth Nagar,Bangalore,Rolls On Wheels,300,4.3,100,Fast Food,Cunnigham Road,38
218,Thousand Lights,Chennai,Tuscana Pizzeria,1200,4.1,50,Italian,Nugambakkam,60
219,Thousand Lights,Chennai,Mamagoto,900,4.3,100,"Chinese,Asian,Pan-Asian,Thai,Oriental",Nugambakkam,55
220,Nungambakkam,Chennai,Eatza Pizza,600,4.1,20,"Italian,Pizzas",Nugambakkam,58
221,Bidhannagar,Kolkata,Veg Dhaba,100,4,100,"North Indian,Indian,Combo,Chinese,Healthy Food",Salt Lake,58
